Wall time,Step,Value
1775830351.250252,580000,-50079036.0
1775830409.3954198,590000,-49850504.0
1775830414.777631,600000,-49570920.0
1775830425.5629144,610000,-49644736.0
1775830431.1166177,620000,-49622256.0
1775830491.7646112,630000,-50011488.0
1775830497.3079288,640000,-49973452.0
1775830502.7756386,650000,-49976628.0
1775830567.04637,660000,-49554020.0
1775830572.6985831,670000,-49647132.0
1775830578.1484025,680000,-49649792.0
1775830636.168589,690000,-49853408.0
1775830641.5591545,700000,-49679204.0
1775830653.0588477,710000,-49793964.0
1775830658.4286485,720000,-49814984.0
1775830715.1056256,730000,-49240496.0
1775830720.3989882,740000,-49190788.0
1775830725.7007148,750000,-49264120.0
1775830783.5489075,760000,-49345152.0
1775830788.9096825,770000,-49339540.0
1775830794.259548,780000,-49457260.0
1775830851.8363538,790000,-49359916.0
1775830857.2224498,800000,-49464788.0
1775830866.4297833,810000,-49569824.0
1775830924.1714516,820000,-49334716.0
1775830929.4645524,830000,-49431904.0
1775830934.704979,840000,-49337256.0
1775830939.996563,850000,-49362192.0
1775830997.2515469,860000,-49404284.0
1775831002.5617611,870000,-49465868.0
1775831007.985971,880000,-49379316.0
1775831064.035757,890000,-49449880.0
1775831069.4721327,900000,-49218772.0
1775831079.4130635,910000,-49453396.0
1775831136.3185403,920000,-49458804.0
1775831141.7053795,930000,-49436184.0
1775831147.095559,940000,-49625656.0
1775831152.454989,950000,-49409840.0
1775831213.2238655,960000,-49676064.0
1775831218.5871933,970000,-49769272.0
1775831224.0092957,980000,-49689540.0
1775831282.8593159,990000,-49732240.0
1775831288.2944384,1000000,-49858172.0
1775831297.436107,1010000,-49864296.0
1775831355.6235468,1020000,-49592500.0
1775831361.1753829,1030000,-49747288.0
1775831366.50053,1040000,-49781136.0
1775831424.705091,1050000,-49763472.0
1775831430.3094137,1060000,-49637872.0
1775831435.859505,1070000,-49658836.0
1775831441.5815926,1080000,-49715948.0
1775831510.6017644,1090000,-50067040.0
1775831516.3263073,1100000,-50093680.0
1775831528.3697417,1110000,-49943484.0
1775831592.6208181,1120000,-49943276.0
1775831598.0914536,1130000,-50094712.0
1775831603.568991,1140000,-50038572.0
1775831664.0976944,1150000,-49793580.0
1775831669.5301204,1160000,-49884456.0
1775831675.063641,1170000,-49782640.0
1775831736.1375897,1180000,-49896492.0
1775831742.0823827,1190000,-49993124.0
1775831747.9984574,1200000,-49838708.0
1775831757.4306107,1210000,-49813192.0
1775831820.6276908,1220000,-49855672.0
1775831826.264574,1230000,-49889728.0
1775831831.860346,1240000,-49699388.0
1775831891.2920642,1250000,-49634044.0
1775831896.712924,1260000,-49472004.0
1775831902.1741016,1270000,-49641560.0
1775831960.4026842,1280000,-49183628.0
1775831965.969708,1290000,-49042884.0
1775831971.3961418,1300000,-49135840.0
1775831980.6330354,1310000,-49175812.0
1775832038.4920661,1320000,-49194228.0
1775832043.9067764,1330000,-49050180.0
1775832049.3195958,1340000,-49314568.0
1775832107.0387466,1350000,-49223808.0
1775832112.5038145,1360000,-49302648.0
1775832117.9627357,1370000,-49139632.0
1775832178.776112,1380000,-49251436.0
1775832184.459903,1390000,-49288604.0
1775832189.8534083,1400000,-49139664.0
1775832252.9879138,1410000,-49452500.0
1775832258.5155666,1420000,-49487644.0
1775832263.9240522,1430000,-49390744.0
1775832269.5923228,1440000,-49476720.0
1775832326.967588,1450000,-49123908.0
1775832332.346241,1460000,-49236816.0
1775832337.7300935,1470000,-49232376.0
1775832394.8359497,1480000,-49113004.0
1775832400.3277323,1490000,-49077196.0
1775832405.8486311,1500000,-49107680.0
1775832473.4353392,1510000,-49152884.0
1775832478.8150253,1520000,-49077432.0
1775832484.3436038,1530000,-49161752.0
1775832489.8003666,1540000,-49000712.0
1775832549.4353485,1550000,-48714028.0
1775832554.9961302,1560000,-48822828.0
1775832560.606941,1570000,-48719424.0
1775832618.6928527,1580000,-49012076.0
1775832624.0885355,1590000,-48948212.0
1775832629.5432022,1600000,-49025620.0
1775832693.262327,1610000,-49298476.0
1775832698.659648,1620000,-49223612.0
1775832704.09554,1630000,-49158004.0
1775832762.4804838,1640000,-48540280.0
1775832767.8954687,1650000,-48314576.0
1775832773.3434503,1660000,-48407152.0
1775832778.7333415,1670000,-48379668.0
1775832835.98811,1680000,-48494980.0
1775832841.3459096,1690000,-48498332.0
1775832846.6837153,1700000,-48447440.0
1775832911.0900059,1710000,-48370616.0
1775832916.794343,1720000,-48470388.0
1775832922.3770401,1730000,-48622168.0
1775832977.3095357,1740000,-48333356.0
1775832982.661246,1750000,-48348508.0
1775832987.9853013,1760000,-48339204.0
1775833043.438455,1770000,-48427528.0
1775833048.788855,1780000,-48505936.0
1775833054.084636,1790000,-48421996.0
1775833059.3390975,1800000,-48395812.0
1775833123.1563573,1810000,-48189200.0
1775833128.8324957,1820000,-48071448.0
1775833134.2026134,1830000,-47995812.0
1775833191.484791,1840000,-48217312.0
1775833196.8426816,1850000,-48093820.0
1775833202.2102447,1860000,-48037444.0
1775833262.388421,1870000,-48180324.0
1775833267.9491074,1880000,-48064552.0
1775833273.5227835,1890000,-48256420.0
1775833278.9980721,1900000,-47970908.0
1775833342.4577582,1910000,-48451020.0
1775833347.8107522,1920000,-48186364.0
1775833353.1610143,1930000,-48247492.0
1775833409.5605152,1940000,-48177104.0
1775833414.9116068,1950000,-48235456.0
1775833420.369865,1960000,-48131256.0
1775833477.571303,1970000,-48388988.0
1775833483.0959783,1980000,-48538512.0
1775833488.5263817,1990000,-48438400.0
1775833545.7428327,2000000,-48508812.0
1775833552.0643775,2010000,-48563232.0
1775833557.401291,2020000,-48584980.0
1775833562.7713866,2030000,-48320412.0
1775833618.6977725,2040000,-48726308.0
1775833624.1739252,2050000,-48521636.0
1775833629.7717156,2060000,-48368168.0
