Wall time,Step,Value
1775831417.7378888,1020000,-60468280.0
1775831423.5883226,1030000,-60225476.0
1775831429.4017868,1040000,-60764020.0
1775831493.6915045,1050000,-59904004.0
1775831499.823596,1060000,-60178592.0
1775831505.67187,1070000,-60100296.0
1775831511.5190022,1080000,-60244012.0
1775831581.286777,1090000,-59474504.0
1775831587.2119653,1100000,-59455340.0
1775831597.8689363,1110000,-59734032.0
1775831658.1928968,1120000,-59020812.0
1775831663.8601463,1130000,-58727056.0
1775831669.3613281,1140000,-58572352.0
1775831728.7626302,1150000,-58810852.0
1775831734.2230637,1160000,-58654912.0
1775831739.7763257,1170000,-58718092.0
1775831797.8580186,1180000,-57790128.0
1775831803.3032854,1190000,-57861560.0
1775831808.6693509,1200000,-57754664.0
1775831821.695189,1210000,-57802352.0
1775831879.5252657,1220000,-57737648.0
1775831884.8213196,1230000,-57734484.0
1775831890.317734,1240000,-57764780.0
1775831948.2304006,1250000,-57933604.0
1775831953.64047,1260000,-57755744.0
1775831959.0660007,1270000,-57920752.0
1775832016.980254,1280000,-57892960.0
1775832022.3482726,1290000,-57971648.0
1775832027.6997519,1300000,-57822420.0
1775832039.0340014,1310000,-57730064.0
1775832096.520721,1320000,-58205068.0
1775832101.8954544,1330000,-58204800.0
1775832107.2120726,1340000,-58274728.0
1775832164.5448797,1350000,-57962068.0
1775832169.9384375,1360000,-58144156.0
1775832175.3230119,1370000,-58041988.0
1775832233.934605,1380000,-57909852.0
1775832239.2865112,1390000,-57883080.0
1775832244.6734965,1400000,-57950684.0
1775832310.1703556,1410000,-57945388.0
1775832315.604692,1420000,-57972140.0
1775832321.1311395,1430000,-57998516.0
1775832326.481239,1440000,-57816172.0
1775832384.215058,1450000,-58528152.0
1775832389.5637708,1460000,-58460324.0
1775832394.930541,1470000,-58445264.0
1775832451.8509371,1480000,-58872188.0
1775832457.1908064,1490000,-58844344.0
1775832462.4951017,1500000,-59054336.0
1775832523.2187493,1510000,-58753136.0
1775832528.520581,1520000,-58774488.0
1775832533.7964363,1530000,-58630636.0
